token,label
gzugs,I-AUTO
kyi,I-AUTO
sku/,I-AUTO
longs,I-AUTO
spyod,I-AUTO
rdzogs,I-AUTO
pa,I-AUTO
dang,I-AUTO
sprul,I-AUTO
pa'i,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
can,I-AUTO
ye,I-AUTO
shes,I-AUTO
kyi,I-AUTO
rten,I-AUTO
du,I-AUTO
snang,I-AUTO
ba/,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
dang,I-AUTO
byang,I-AUTO
chub,I-AUTO
sems,I-AUTO
dpa'i,I-AUTO
gzugs,I-AUTO
rnams,I-AUTO
su,I-AUTO
theg,I-AUTO
pa,I-AUTO
che,I-AUTO
chung,I-AUTO
gi,I-AUTO
tshul,I-AUTO
na,I-AUTO
tshogs,I-AUTO
las,I-AUTO
grags,I-AUTO
par,I-AUTO
snang,I-AUTO
ba'i,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
de,I-AUTO
rnams,I-AUTO
kyang,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
zhes,I-AUTO
'dod,I-AUTO
do//,I-AUTO
'dir,I-AUTO
dris,I-AUTO
pa/,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
gnyis,I-AUTO
su,I-AUTO
med,I-AUTO
pa'i,I-AUTO
ye,I-AUTO
shes,I-AUTO
kyi/,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
yin,I-AUTO
na/,I-AUTO
phyogs,I-AUTO
bcu,I-AUTO
dus,I-AUTO
gsum,I-AUTO
gyi,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
so,I-AUTO
so,I-AUTO
rang,I-AUTO
gis,I-AUTO
rig,I-AUTO
pa'i,I-AUTO
ye,I-AUTO
shes,I-AUTO
rnams,I-AUTO
chos,I-AUTO
can,I-AUTO
gcig,I-AUTO
gam,I-AUTO
tha,I-AUTO
dad,I-AUTO
pa,I-AUTO
zhig,I-AUTO
yin/,I-AUTO
de,I-AUTO
bzhin,I-AUTO
du,I-AUTO
de'i,I-AUTO
chos,I-AUTO
nyid,I-AUTO
dang,I-AUTO
de'i,I-AUTO
mdzad,I-AUTO
pa'ang,I-AUTO
gcig,I-AUTO
gam,I-AUTO
tha,I-AUTO
dad,I-AUTO
pa,I-AUTO
zhig,I-AUTO
zhe,I-AUTO
na/,I-AUTO
smras,I-AUTO
pa/,I-AUTO
de,I-AUTO
ni,I-AUTO
'di,I-AUTO
ltar,I-AUTO
rig,I-AUTO
par,I-AUTO
bya,I-AUTO
ste/,I-AUTO
kha,I-AUTO
cig,I-AUTO
ni,I-AUTO
tshul,I-AUTO
las,I-AUTO
ni/,I-AUTO
de,I-AUTO
bzhin,I-AUTO
gshegs,I-AUTO
pa,I-AUTO
rnams,I-AUTO
ni,I-AUTO
ye,I-AUTO
shes,I-AUTO
kyi,I-AUTO
rgyud,I-AUTO
kyang,I-AUTO
tha,I-AUTO
dad/,I-AUTO
de'i,I-AUTO
chos,I-AUTO
nyid,I-AUTO
dang,I-AUTO
/,I-AUTO
de'i,I-AUTO
mdzad,I-AUTO
pa'ang,I-AUTO
tha,I-AUTO
dad,I-AUTO
de/,I-AUTO
'on,I-AUTO
kyang,I-AUTO
rnam,I-AUTO
pa,I-AUTO
bzhi'i,I-AUTO
sgo,I-AUTO
nas,I-AUTO
mtshungs,I-AUTO
pa,I-AUTO
yin,I-AUTO
no//,I-AUTO
bzhi,I-AUTO
gang,I-AUTO
zhe,I-AUTO
na/,I-AUTO
chos,I-AUTO
mtshungs,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
sku,I-AUTO
mtshungs,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
gsung,I-AUTO
mtshungs,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
yi,I-AUTO
ge,I-AUTO
mtshungs,I-AUTO
pa'o,I-AUTO
zhes,I-AUTO
'dod,I-AUTO
do//,I-AUTO
kha,I-AUTO
cig,I-AUTO
gi,I-AUTO
tshul,I-AUTO
las,I-AUTO
ni/,I-AUTO
ye,I-AUTO
shes,I-AUTO
ni,I-AUTO
gang,I-AUTO
zag,I-AUTO
gi,I-AUTO
rgyud,I-AUTO
so,I-AUTO
so,I-AUTO
las,I-AUTO
bsgrub,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
tha,I-AUTO
dad,I-AUTO
de/,I-AUTO
de'i,I-AUTO
chos,I-AUTO
nyid,I-AUTO
dang,I-AUTO
/,I-AUTO
mdzad,I-AUTO
pa,I-AUTO
dag,I-AUTO
ni,I-AUTO
'dres,I-AUTO
pa,I-AUTO
ste/,I-AUTO
tha,I-AUTO
dad,I-AUTO
med,I-AUTO
do,I-AUTO
zhes,I-AUTO
'dod,I-AUTO
do//,I-AUTO
kha,I-AUTO
cig,I-AUTO
gi,I-AUTO
tshul,I-AUTO
las,I-AUTO
ni/,I-AUTO
bdag,I-AUTO
dang,I-AUTO
gzhan,I-AUTO
gyi,I-AUTO
rgyud,I-AUTO
du,I-AUTO
'byed,I-AUTO
pa,I-AUTO
ni,I-AUTO
bdag,I-AUTO
tu,I-AUTO
lta,I-AUTO
ba'i,I-AUTO
bag,I-AUTO
chags,I-AUTO
yin,I-AUTO
la//,I-AUTO
bdag,I-AUTO
tu,I-AUTO
lta,I-AUTO
ba,I-AUTO
ni,I-AUTO
'khrul,I-AUTO
pa,I-AUTO
ste/,I-AUTO
des,I-AUTO
bskyed,I-AUTO
cing,I-AUTO
de'i,I-AUTO
dbang,I-AUTO
gis,I-AUTO
snang,I-AUTO
ba,I-AUTO
ni/,I-AUTO
de,I-AUTO
ltar,I-AUTO
bden,I-AUTO
pa,I-AUTO
ma,I-AUTO
yin,I-AUTO
pas/,I-AUTO
sems,I-AUTO
can,I-AUTO
gyi,I-AUTO
dus,I-AUTO
na,I-AUTO
yang,I-AUTO
rgyud,I-AUTO
tha,I-AUTO
dad,I-AUTO
mi,I-AUTO
'grub,I-AUTO
na/,I-AUTO
bdag,I-AUTO
tu,I-AUTO
lta,I-AUTO
ba'i,I-AUTO
mdud,I-AUTO
pa,I-AUTO
mi,I-AUTO
mnga',I-AUTO
ba'i,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
rnams,I-AUTO
la/,I-AUTO
ye,I-AUTO
shes,I-AUTO
tha,I-AUTO
dad,I-AUTO
kyi,I-AUTO
rgyud,I-AUTO
ga,I-AUTO
la,I-AUTO
grub,I-AUTO
ste/,I-AUTO
de,I-AUTO
bas,I-AUTO
na,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
rnams,I-AUTO
la,I-AUTO
ni,I-AUTO
rgyud,I-AUTO
tha,I-AUTO
dad,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
rgyud,I-AUTO
tha,I-AUTO
dad,I-AUTO
pas,I-AUTO
don,I-AUTO
mdzad,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
bzhin,I-AUTO
du,I-AUTO
tshul,I-AUTO
tha,I-AUTO
dad,I-AUTO
pas,I-AUTO
don,I-AUTO
mdzad,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
zhing,I-AUTO
tha,I-AUTO
dad,I-AUTO
du,I-AUTO
don,I-AUTO
mdzad,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
dus,I-AUTO
tha,I-AUTO
dad,I-AUTO
du,I-AUTO
don,I-AUTO
mdzad,I-AUTO
pa,I-AUTO
mi,I-AUTO
mnga',I-AUTO
ste/,I-AUTO
ji,I-AUTO
srid,I-AUTO
du,I-AUTO
theg,I-AUTO
pa,I-AUTO
che,I-AUTO
chung,I-AUTO
gi,I-AUTO
gsung,I-AUTO
rab,I-AUTO
rnams,I-AUTO
las,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
zhes,I-AUTO
grags,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
spyan,I-AUTO
ras,I-AUTO
gzigs,I-AUTO
dbang,I-AUTO
phyug,I-AUTO
dang,I-AUTO
/,I-AUTO
phyag,I-AUTO
na,I-AUTO
rdo,I-AUTO
rje,I-AUTO
zhe'am/,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
shakya,I-AUTO
thub,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
mar,I-AUTO
me,I-AUTO
mdzad,I-AUTO
dang,I-AUTO
/,I-AUTO
byams,I-AUTO
pa,I-AUTO
zhe'am/,I-AUTO
rnam,I-AUTO
par,I-AUTO
snang,I-AUTO
mdzad,I-AUTO
dang,I-AUTO
/,I-AUTO
mi,I-AUTO
bskyod,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
dkon,I-AUTO
mchog,I-AUTO
dpal,I-AUTO
zhes,I-AUTO
bya,I-AUTO
ba,I-AUTO
srtsogs,I-AUTO
par,I-AUTO
grags,I-AUTO
pa,I-AUTO
longs,I-AUTO
spyod,I-AUTO
rdzogs,I-AUTO
pa,I-AUTO
dang,I-AUTO
sprul,I-AUTO
pa'i,I-AUTO
skur,I-AUTO
grags,I-AUTO
shing,I-AUTO
/,I-AUTO
so,I-AUTO
so'i,I-AUTO
gdul,I-AUTO
bya,I-AUTO
dang,I-AUTO
/,I-AUTO
zhing,I-AUTO
khams,I-AUTO
dang,I-AUTO
/,I-AUTO
tshul,I-AUTO
dang,I-AUTO
/,I-AUTO
bstan,I-AUTO
pa,I-AUTO
dang,I-AUTO
/,I-AUTO
dus,I-AUTO
tha,I-AUTO
dad,I-AUTO
du,I-AUTO
ye,I-AUTO
shes,I-AUTO
chen,I-AUTO
po'i,I-AUTO
rten,I-AUTO
du,I-AUTO
snang,I-AUTO
ba,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyang,I-AUTO
/,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
gnyis,I-AUTO
su,I-AUTO
med,I-AUTO
pa'i,I-AUTO
ye,I-AUTO
shes,I-AUTO
kyis,I-AUTO
chos,I-AUTO
nyid,I-AUTO
rtogs,I-AUTO
pa'i,I-AUTO
dbang,I-AUTO
dang,I-AUTO
/,I-AUTO
sngon,I-AUTO
gyi,I-AUTO
smon,I-AUTO
lam,I-AUTO
dang,I-AUTO
thugs,I-AUTO
rje'i,I-AUTO
shugs,I-AUTO
kyis,I-AUTO
gdul,I-AUTO
bya,I-AUTO
dkar,I-AUTO
po'i,I-AUTO
bag,I-AUTO
chags,I-AUTO
dang,I-AUTO
ldan,I-AUTO
pa',I-AUTO
i,I-AUTO
blo,I-AUTO
la,I-AUTO
so,I-AUTO
sor,I-AUTO
snang,I-AUTO
ba,I-AUTO
tsam,I-AUTO
gyis,I-AUTO
phye,I-AUTO
ba,I-AUTO
la,I-AUTO
gtogs,I-AUTO
pa,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
dbang,I-AUTO
du,I-AUTO
ni,I-AUTO
bye,I-AUTO
brag,I-AUTO
phra,I-AUTO
mo,I-AUTO
tsam,I-AUTO
yang,I-AUTO
rnyed,I-AUTO
pa,I-AUTO
ma,I-AUTO
yin,I-AUTO
no//,I-AUTO
de,I-AUTO
bas,I-AUTO
na,I-AUTO
'dir,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
gyi,I-AUTO
yon,I-AUTO
tan,I-AUTO
brjod,I-AUTO
pa,I-AUTO
'di,I-AUTO
ni/,I-AUTO
phyogs,I-AUTO
bcu,I-AUTO
dus,I-AUTO
gsum,I-AUTO
gyi,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
yon,I-AUTO
tan,I-AUTO
brjod,I-AUTO
pa,I-AUTO
yin,I-AUTO
par,I-AUTO
shes,I-AUTO
par,I-AUTO
bya'o//,I-AUTO
de,I-AUTO
la,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
gyi,I-AUTO
skur,I-AUTO
snang,I-AUTO
ba'i,I-AUTO
tshul,I-AUTO
la,I-AUTO
brten,I-AUTO
nas,I-AUTO
tshul,I-AUTO
so,I-AUTO
sor,I-AUTO
grags,I-AUTO
pa,I-AUTO
ni,I-AUTO
'di,I-AUTO
ste,I-AUTO
ste/,I-AUTO
nyan,I-AUTO
thos,I-AUTO
kyi,I-AUTO
tshul,I-AUTO
las,I-AUTO
ni/,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
zhes,I-AUTO
bya,I-AUTO
ba,I-AUTO
byang,I-AUTO
chub,I-AUTO
sems,I-AUTO
dpa'i,I-AUTO
rgyud,I-AUTO
du,I-AUTO
gtogs,I-AUTO
pa/,I-AUTO
da,I-AUTO
dung,I-AUTO
'phags,I-AUTO
pa'i,I-AUTO
lam,I-AUTO
ma,I-AUTO
thob,I-AUTO
pa,I-AUTO
so,I-AUTO
so'i,I-AUTO
skye,I-AUTO
bor,I-AUTO
'dod,I-AUTO
do//,I-AUTO
pha,I-AUTO
rol,I-AUTO
tu,I-AUTO
phyin,I-AUTO
pa'i,I-AUTO
tshul,I-AUTO
thun,I-AUTO
mong,I-AUTO
du,I-AUTO
grags,I-AUTO
pa,I-AUTO
las,I-AUTO
ni/,I-AUTO
byang,I-AUTO
chub,I-AUTO
sems,I-AUTO
dpa',I-AUTO
sa,I-AUTO
bcu'i,I-AUTO
dbang,I-AUTO
phyug,I-AUTO
to,I-AUTO
'dod,I-AUTO
do//,I-AUTO
'dzam,I-AUTO
bu'i,I-AUTO
gling,I-AUTO
na,I-AUTO
yang,I-AUTO
bcom,I-AUTO
ldan,I-AUTO
'das,I-AUTO
shakya,I-AUTO
thub,I-AUTO
pa'i,I-AUTO
'khor,I-AUTO
du,I-AUTO
gyur,I-AUTO
pa,I-AUTO
yin,I-AUTO
la/,I-AUTO
'og,I-AUTO
min,I-AUTO
na,I-AUTO
yang,I-AUTO
bcom,I-AUTO
ldan,I-AUTO
'das,I-AUTO
rnam,I-AUTO
par,I-AUTO
snang,I-AUTO
mdzad,I-AUTO
kyi,I-AUTO
nye,I-AUTO
ba'i,I-AUTO
sras,I-AUTO
su,I-AUTO
gyur,I-AUTO
pa,I-AUTO
yin,I-AUTO
no,I-AUTO
zhe'o//,I-AUTO
mdo,I-AUTO
sde,I-AUTO
zab,I-AUTO
mo'i,I-AUTO
tshul,I-AUTO
las,I-AUTO
ni/,I-AUTO
sngon,I-AUTO
gyi,I-AUTO
dus,I-AUTO
su,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
pa,I-AUTO
ste/,I-AUTO
byang,I-AUTO
chub,I-AUTO
sems,I-AUTO
dpa'i,I-AUTO
tshul,I-AUTO
du,I-AUTO
bzhugs,I-AUTO
pa'o,I-AUTO
zhe'o//,I-AUTO
gsang,I-AUTO
sngags,I-AUTO
kyi,I-AUTO
tshul,I-AUTO
las,I-AUTO
ni,I-AUTO
kha,I-AUTO
cig,I-AUTO
las/,I-AUTO
rigs,I-AUTO
kyi,I-AUTO
gtso,I-AUTO
bo,I-AUTO
de,I-AUTO
bzhin,I-AUTO
gshegs,I-AUTO
pa'i,I-AUTO
gtsug,I-AUTO
tor,I-AUTO
las,I-AUTO
sprul,I-AUTO
pa'i,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
byang,I-AUTO
chub,I-AUTO
sems,I-AUTO
dpa'i,I-AUTO
tshul,I-AUTO
du,I-AUTO
bzhugs,I-AUTO
par,I-AUTO
'dod,I-AUTO
do//,I-AUTO
rnal,I-AUTO
'byor,I-AUTO
gyi,I-AUTO
tshul,I-AUTO
kha,I-AUTO
cig,I-AUTO
las,I-AUTO
ni/,I-AUTO
bcom,I-AUTO
ldan,I-AUTO
'das,I-AUTO
rnam,I-AUTO
par,I-AUTO
snang,I-AUTO
mdzad,I-AUTO
kyi,I-AUTO
thugs,I-AUTO
las,I-AUTO
sprul,I-AUTO
pa'i,I-AUTO
ye,I-AUTO
shes,I-AUTO
kyi,I-AUTO
sems,I-AUTO
dpa',I-AUTO
chen,I-AUTO
po,I-AUTO
bcu,I-AUTO
drug,I-AUTO
las/,I-AUTO
rdo,I-AUTO
rje,I-AUTO
rnon,I-AUTO
po,I-AUTO
ste,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
rdo,I-AUTO
rje,I-AUTO
zhes,I-AUTO
'dod,I-AUTO
do//,I-AUTO
rnal,I-AUTO
'byor,I-AUTO
chen,I-AUTO
po'i,I-AUTO
tshul,I-AUTO
kha,I-AUTO
cig,I-AUTO
las,I-AUTO
ni/,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
ye,I-AUTO
shes,I-AUTO
sems,I-AUTO
dpa',I-AUTO
zhes,I-AUTO
kyang,I-AUTO
bya//,I-AUTO
byang,I-AUTO
chub,I-AUTO
sems,I-AUTO
dpa',I-AUTO
rdo,I-AUTO
rje,I-AUTO
zhes,I-AUTO
kyang,I-AUTO
bya/,I-AUTO
de,I-AUTO
bzhin,I-AUTO
du/,I-AUTO
rdo,I-AUTO
rje,I-AUTO
sems,I-AUTO
dpa',I-AUTO
dang,I-AUTO
/,I-AUTO
kun,I-AUTO
tu,I-AUTO
bzang,I-AUTO
po,I-AUTO
dang,I-AUTO
/,I-AUTO
bde,I-AUTO
ba,I-AUTO
chen,I-AUTO
po,I-AUTO
la,I-AUTO
srtsogs,I-AUTO
pa,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
gtso,I-AUTO
bo//,I-AUTO
dkyil,I-AUTO
'khor,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
mnga',I-AUTO
bdag,I-AUTO
nyid,I-AUTO
du,I-AUTO
yang,I-AUTO
ston,I-AUTO
to//,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
sgyu,I-AUTO
'phrul,I-AUTO
drwa,I-AUTO
ba,I-AUTO
las,I-AUTO
ni/,I-AUTO
de,I-AUTO
bzhin,I-AUTO
gshegs,I-AUTO
pa,I-AUTO
thams,I-AUTO
cad,I-AUTO
kyi,I-AUTO
thugs,I-AUTO
ka,I-AUTO
na,I-AUTO
'jam,I-AUTO
pa'i,I-AUTO
rdo,I-AUTO
rje,I-AUTO
bzhugs,I-AUTO
te/,I-AUTO
de,I-AUTO
yang,I-AUTO
dang,I-AUTO
po'i,I-AUTO
sangs,I-AUTO
rgyas,I-AUTO
kyi,I-AUTO
tshul,I-AUTO
dang,I-AUTO
/,I-AUTO
ye,I-AUTO
shes,I-AUTO
sems,I-AUTO
dpa'i,I-AUTO
tshul,I-AUTO
gyis,I-AUTO
bzhugs,I-AUTO
so,I-AUTO
zhes,I-AUTO
'dod,I-AUTO
do//,I-AUTO
'di,I-AUTO
dag,I-AUTO
ni,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
gyi,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
bstan,I-AUTO
pa'o//,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
de'i,I-AUTO
mtshan,I-AUTO
ni,I-AUTO
gang,I-AUTO
dang,I-AUTO
gang,I-AUTO
rnams,I-AUTO
yin,I-AUTO
zhe,I-AUTO
na/,I-AUTO
ji,I-AUTO
srid,I-AUTO
du,I-AUTO
zag,I-AUTO
pa,I-AUTO
dang,I-AUTO
bcas,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
sam/,I-AUTO
zag,I-AUTO
pa,I-AUTO
med,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
sam/,I-AUTO
'jig,I-AUTO
rten,I-AUTO
pa'am/,I-AUTO
'jig,I-AUTO
rten,I-AUTO
las,I-AUTO
'das,I-AUTO
pa'am/,I-AUTO
'dus,I-AUTO
byas,I-AUTO
sam/,I-AUTO
'dus,I-AUTO
ma,I-AUTO
byas,I-AUTO
sam/,I-AUTO
dngos,I-AUTO
po'am/,I-AUTO
dngos,I-AUTO
po,I-AUTO
med,I-AUTO
pa'am/,I-AUTO
sems,I-AUTO
sam/,I-AUTO
sems,I-AUTO
snang,I-AUTO
ba,I-AUTO
la,I-AUTO
srtsogs,I-AUTO
te/,I-AUTO
ji,I-AUTO
srid,I-AUTO
du,I-AUTO
chos,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
rnam,I-AUTO
pa'i,I-AUTO
rab,I-AUTO
tu,I-AUTO
dbye,I-AUTO
ba'i,I-AUTO
ming,I-AUTO
du,I-AUTO
grags,I-AUTO
pa/,I-AUTO
jig,I-AUTO
rten,I-AUTO
gyi,I-AUTO
gtsug,I-AUTO
lag,I-AUTO
las,I-AUTO
grags,I-AUTO
pa'am/,I-AUTO
theg,I-AUTO
pa,I-AUTO
chung,I-AUTO
ngu,I-AUTO
las,I-AUTO
grags,I-AUTO
pa'am/,I-AUTO
theg,I-AUTO
pa,I-AUTO
chen,I-AUTO
po,I-AUTO
las,I-AUTO
grags,I-AUTO
pa'am/,I-AUTO
theg,I-AUTO
pa,I-AUTO
chen,I-AUTO
po'i,I-AUTO
yang,I-AUTO
chen,I-AUTO
po,I-AUTO
gsang,I-AUTO
sngags,I-AUTO
kyi,I-AUTO
tshul,I-AUTO
las,I-AUTO
grags,I-AUTO
pa,I-AUTO
yang,I-AUTO
rung,I-AUTO
ste/,I-AUTO
chos,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
ming,I-AUTO
ji,I-AUTO
snyed,I-AUTO
pa,I-AUTO
de,I-AUTO
dag,I-AUTO
thams,I-AUTO
cad,I-AUTO
ni/,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
gyi,I-AUTO
mtshan,I-AUTO
du,I-AUTO
ma,I-AUTO
gyur,I-AUTO
pa,I-AUTO
med,I-AUTO
de/,I-AUTO
de,I-AUTO
bas,I-AUTO
na,I-AUTO
de,I-AUTO
dag,I-AUTO
thams,I-AUTO
cad,I-AUTO
mtshan,I-AUTO
du,I-AUTO
shes,I-AUTO
par,I-AUTO
bya'o//,I-AUTO
'dir,I-AUTO
dris,I-AUTO
pa/,I-AUTO
zag,I-AUTO
pa,I-AUTO
med,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
ming,I-AUTO
rnams,I-AUTO
ni,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
gyi,I-AUTO
mtshan,I-AUTO
du,I-AUTO
rung,I-AUTO
ste/,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dal,I-AUTO
nyid,I-AUTO
zag,I-AUTO
pa,I-AUTO
med,I-AUTO
pa,I-AUTO
thob,I-AUTO
pa'i,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
rung,I-AUTO
na/,I-AUTO
zag,I-AUTO
pa,I-AUTO
dang,I-AUTO
bcas,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
ming,I-AUTO
de'i,I-AUTO
mtshan,I-AUTO
du,I-AUTO
ji,I-AUTO
ltar,I-AUTO
'gyur/,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
ni,I-AUTO
zag,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
thams,I-AUTO
cad,I-AUTO
yongs,I-AUTO
su,I-AUTO
zad,I-AUTO
pa'i,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir/,I-AUTO
de,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
ming,I-AUTO
de'i,I-AUTO
mtshan,I-AUTO
du,I-AUTO
mi,I-AUTO
rung,I-AUTO
ngo,I-AUTO
zha,I-AUTO
na/,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
ni,I-AUTO
zag,I-AUTO
pa,I-AUTO
med,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
kyi,I-AUTO
bdag,I-AUTO
nyid,I-AUTO
can,I-AUTO
yin,I-AUTO
mod,I-AUTO
kyi/,I-AUTO
tshul,I-AUTO
'di,I-AUTO
la,I-AUTO
'gal,I-AUTO
ba,I-AUTO
med,I-AUTO
de/,I-AUTO
'di,I-AUTO
ltar,I-AUTO
'phags,I-AUTO
pa,I-AUTO
'jam,I-AUTO
dpal,I-AUTO
ni/,I-AUTO
zag,I-AUTO
pa,I-AUTO
dang,I-AUTO
bcas,I-AUTO
pa'i,I-AUTO
chos,I-AUTO
rnams,I-AUTO
kyi,I-AUTO
rang,I-AUTO
bzhin,I-AUTO
yang,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
dang,I-AUTO
/,I-AUTO
de,I-AUTO
la,I-AUTO
khyab,I-AUTO
pa,I-AUTO
yin,I-AUTO
pa'i,I-AUTO
phyir,I-AUTO
dang,I-AUTO
/,I-AUTO
der,I-AUTO
'phrul,I-AUTO
pa,I-AUTO
